,Date_of_Scrape,Loan_Program,RATE,APR,Loan_type
0,02/08/2023,30-Year Fixed Rate,6.84 %,6.92 %,conforming_loan
1,02/08/2023,20-Year Fixed Rate,6.51 %,6.62 %,conforming_loan
2,02/08/2023,15-Year Fixed Rate,6.00 %,6.15 %,conforming_loan
3,02/08/2023,10-Year Fixed Rate,6.00 %,6.24 %,conforming_loan
4,02/08/2023,7-year ARM,7.01 %,7.61 %,conforming_loan
5,02/08/2023,5-year ARM,6.80 %,7.63 %,conforming_loan
6,02/08/2023,3-year ARM,--,--,conforming_loan
7,02/08/2023,30-Year Fixed Rate FHA,6.17 %,7.29 %,government_loan
8,02/08/2023,30-Year Fixed Rate VA,6.14 %,6.43 %,government_loan
9,02/08/2023,15-Year Fixed Rate FHA,5.82 %,7.07 %,government_loan
10,02/08/2023,15-Year Fixed Rate VA,5.84 %,6.38 %,government_loan
11,02/08/2023,30-Year Fixed Rate Jumbo,7.33 %,7.39 %,jumbo_loan
12,02/08/2023,15-Year Fixed Rate Jumbo,6.91 %,7.04 %,jumbo_loan
13,02/08/2023,7-year ARM Jumbo,7.46 %,7.81 %,jumbo_loan
14,02/08/2023,5-year ARM Jumbo,7.34 %,7.76 %,jumbo_loan
15,02/08/2023,3-year ARM Jumbo,5.72 %,7.40 %,jumbo_loan
